Queja;Cancelada;INTERNET;2013-01-04 00:00:00.0;;Consorcio Regional de Transportes;;TRANSPORTES;TARIFAS, ABONOS Y TÍTULOS
Queja;Enviada a Otra Administración;LLAMADAS 012;2013-01-04 00:00:00.0;;;;TRANSPORTES;METRO 
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-04 00:00:00.0;2013-03-01 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General de Empleo;EMPLEO;OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-04 00:00:00.0;2013-03-12 00:00:00.0;Oficina de Cultura y Turismo;;CULTURA;BIBLIOTECAS
Queja;Enviada a Otra Administración;LLAMADAS 012;2013-01-04 00:00:00.0;;;;TRANSPORTES;METRO 
Queja;Contestada al Ciudadano;LLAMADAS 012;2013-01-04 00:00:00.0;2013-02-14 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;TARIFAS, ABONOS Y TÍTULOS
Queja;Enviada a Otra Administración;LLAMADAS 012;2013-01-04 00:00:00.0;;;;TRANSPORTES;METRO 
