Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-09 00:00:00.0;2013-01-29 00:00:00.0;;;ATENCIÓN AL CIUDADANO;OFICINAS DE REGISTRO DE LA COMUNIDAD DE MADRID
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-09 00:00:00.0;2013-03-13 00:00:00.0;Oficina de Cultura y Turismo;;CULTURA;BIBLIOTECAS
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-09 00:00:00.0;2013-03-13 00:00:00.0;Oficina de Cultura y Turismo;;CULTURA;BIBLIOTECAS
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-09 00:00:00.0;2013-03-01 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General de Empleo;EMPLEO;OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-09 00:00:00.0;2013-03-13 00:00:00.0;Oficina de Cultura y Turismo;;CULTURA;BIBLIOTECAS
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-09 00:00:00.0;2013-03-01 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General de Empleo;EMPLEO;OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-09 00:00:00.0;2013-03-04 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General de Empleo;EMPLEO;OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-09 00:00:00.0;2013-03-13 00:00:00.0;Agencia para la Administración Digital de la Comunidad de Madrid;;INFORMATICA Y COMUNICACIONES (MADRID DIGITAL);INTERNET
